id,ra,dec,xpix,ypix,FOURSTARKs_tot,K_flag,K_star,K_fluxrad,totmask,FOURSTARKs,eFOURSTARKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,FOURSTARJ1,eFOURSTARJ1,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2
1,31.51347,-58.554588,801.2,209.7,15096.814,0,0.03,14.244,1,1994.762,0.918,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1436.433,0.644,1675.999,0.461,-999.0,9999.0,514.35,5.62
2,31.59111,-58.559471,72.34,120.6,390.919,0,0.03,3.626,1,167.722,0.569,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,55.086,0.559,76.067,0.428,-999.0,9999.0,75.036,5.217
3,31.576328,-58.562344,211.23,69.19,1041.233,0,0.03,3.981,1,402.021,0.572,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,183.578,0.559,234.866,0.428,-999.0,9999.0,134.231,3.976
4,31.426998,-58.563847,1613.17,43.45,116.311,0,0.04,2.648,1,61.262,0.592,0.283,0.1,0.623,0.061,3.308,0.167,8.143,0.182,20.556,0.22,23.509,0.661,28.04,0.58,34.614,0.456,-999.0,9999.0,29.216,1.384
5,31.584105,-58.563942,138.28,40.3,125.98,0,0.03,3.157,1,59.101,0.572,-999.0,9999.0,0.463,0.087,-999.0,9999.0,-999.0,9999.0,10.315,0.311,13.983,0.941,18.345,0.572,27.432,0.435,-999.0,9999.0,48.816,3.737
6,31.367729,-58.564213,2169.57,36.49,80.259,0,0.03,3.485,1,36.303,0.586,1.931,0.1,3.52,0.087,9.607,0.167,12.957,0.182,18.418,0.311,19.297,0.929,19.433,0.563,24.718,0.435,-999.0,9999.0,17.158,2.529
7,31.543238,-58.564404,521.94,32.7,99.371,0,0.03,2.742,1,52.152,0.571,-999.0,9999.0,1.472,0.087,-999.0,9999.0,-999.0,9999.0,14.164,0.311,17.596,0.94,21.098,0.714,27.087,0.449,-999.0,9999.0,24.702,1.192
8,31.345232,-58.564522,2380.77,30.73,49.765,0,0.02,2.922,1,25.481,0.612,0.251,0.1,0.213,0.087,0.645,0.167,1.004,0.182,3.302,0.311,4.726,0.929,8.879,1.255,13.338,1.13,-999.0,9999.0,31.133,3.335
9,31.346769,-58.564514,2366.33,30.84,58.669,0,0.03,2.84,1,30.509,0.605,1.527,0.1,2.178,0.087,3.172,0.167,4.212,0.182,8.439,0.311,9.671,0.929,13.952,1.285,17.417,0.881,-999.0,9999.0,65.464,4.884
10,31.326389,-58.564663,2557.65,27.87,702.134,0,0.98,2.416,1,391.714,1.684,3.779,0.1,19.273,0.087,75.485,0.167,135.197,0.182,295.367,0.311,373.961,0.929,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0
11,31.482759,-58.564724,1089.71,27.53,76.14,0,0.05,2.442,1,42.599,0.575,0.71,0.1,1.072,0.061,2.463,0.167,4.241,0.182,11.247,0.22,13.411,0.662,16.065,0.571,21.529,0.444,-999.0,9999.0,32.44,1.364
12,31.590994,-58.564732,73.64,25.92,26.85,0,0.0,4.163,1,11.254,0.567,-999.0,9999.0,3.698,0.087,-999.0,9999.0,-999.0,9999.0,9.688,0.311,8.583,0.939,9.259,0.566,10.205,0.431,-999.0,9999.0,5.221,0.988
13,31.502279,-58.564987,906.46,22.67,88.539,0,0.03,3.977,1,35.999,0.766,2.921,0.1,3.956,0.061,5.871,0.167,9.201,0.182,17.363,0.22,19.696,0.661,19.59,0.574,24.934,0.436,-999.0,9999.0,19.674,1.029
14,31.54579,-58.564838,498.0,24.78,7.579,0,0.02,3.349,1,3.776,0.57,-999.0,9999.0,0.691,0.087,-999.0,9999.0,-999.0,9999.0,2.241,0.31,2.201,0.938,2.361,0.652,2.588,0.44,-999.0,9999.0,1.295,0.27
15,31.515865,-58.565235,778.92,18.03,1393.908,0,0.99,2.072,1,806.512,0.845,2.744,0.1,14.019,0.061,45.571,0.167,113.56,0.182,330.977,0.22,570.889,0.661,688.049,0.639,772.594,0.514,-999.0,9999.0,230.852,3.951
16,31.59746,-58.56501,12.96,20.74,86.285,16,0.03,2.892,1,44.758,0.571,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,30.223,0.564,33.022,0.436,-999.0,9999.0,18.137,2.588
17,31.382463,-58.565208,2031.23,18.72,173.137,16,0.03,4.493,1,64.24,0.589,6.615,0.1,10.347,0.088,26.369,0.167,30.665,0.182,39.387,0.311,41.023,0.929,42.171,0.577,50.261,0.446,-999.0,9999.0,24.74,2.914
18,31.367832,-58.565346,2168.58,16.14,135.402,17,0.03,3.33,1,63.76,0.58,1.406,0.1,2.82,0.087,5.907,0.167,9.491,0.182,19.197,0.311,21.956,0.93,24.982,0.571,34.534,0.438,-999.0,9999.0,47.598,4.172
19,31.393587,-58.565258,1926.82,17.9,18.613,0,0.01,3.105,1,9.197,0.583,1.482,0.1,1.905,0.086,2.791,0.167,4.681,0.182,6.114,0.311,5.82,0.928,7.314,0.595,6.667,0.449,-999.0,9999.0,3.1,0.62
20,31.406385,-58.56543,1806.66,14.9,123.989,16,0.03,4.406,1,47.466,0.587,6.322,0.1,8.361,0.065,16.51,0.167,23.38,0.182,28.303,0.22,29.852,0.661,31.508,0.576,34.767,0.436,-999.0,9999.0,22.43,1.961
21,31.440466,-58.565174,1486.74,19.57,15.156,0,0.97,1.065,1,9.85,0.587,-0.068,0.1,-0.007,0.065,-0.007,0.167,0.126,0.182,-0.171,0.22,0.678,0.661,1.096,0.58,0.243,0.463,-999.0,9999.0,-1.165,0.1
22,31.465096,-58.565304,1255.52,17.18,100.336,0,0.98,2.002,1,59.43,0.583,47.926,0.1,84.486,0.061,125.224,0.167,128.356,0.182,129.705,0.22,123.699,0.661,111.377,0.578,105.414,0.452,-999.0,9999.0,12.959,0.942
23,31.536997,-58.565197,580.55,18.51,13.712,0,0.01,2.668,1,7.384,0.569,-999.0,9999.0,0.677,0.087,-999.0,9999.0,-999.0,9999.0,2.325,0.311,3.958,0.939,3.09,0.765,4.687,0.507,-999.0,9999.0,4.449,0.513
24,31.495672,-58.56525,968.48,17.93,9.846,0,0.26,2.987,1,5.061,0.62,0.301,0.1,0.519,0.061,0.937,0.167,0.904,0.182,1.134,0.22,2.342,0.662,1.217,0.566,2.16,0.435,-999.0,9999.0,4.052,0.468
25,31.573454,-58.565544,238.33,11.62,49.889,16,0.02,3.29,1,24.421,0.573,-999.0,9999.0,2.069,0.087,-999.0,9999.0,-999.0,9999.0,10.346,0.311,11.931,0.939,12.414,0.559,14.813,0.427,-999.0,9999.0,11.622,1.081
26,31.360258,-58.565659,2239.67,10.44,26.3,16,0.01,3.274,1,12.7,0.584,0.269,0.1,0.397,0.087,0.4,0.167,0.42,0.182,1.117,0.311,1.76,0.929,1.985,0.717,3.796,0.452,-999.0,9999.0,31.18,3.398
27,31.347857,-58.565655,2356.1,10.32,18.111,16,0.0,2.915,1,9.593,0.596,1.566,0.1,1.832,0.087,2.473,0.167,2.798,0.183,4.441,0.312,6.043,0.932,7.417,1.197,7.332,0.904,-999.0,9999.0,15.093,2.461
28,31.500889,-58.565624,919.53,11.16,9.968,0,0.77,2.506,1,6.871,0.72,0.725,0.1,1.119,0.061,2.012,0.167,2.305,0.182,2.831,0.22,3.269,0.661,3.255,0.572,4.193,0.438,-999.0,9999.0,4.782,0.424
29,31.572062,-58.565235,251.38,17.24,6.445,0,0.53,2.098,1,4.624,0.575,-999.0,9999.0,0.588,0.087,-999.0,9999.0,-999.0,9999.0,2.923,0.311,3.383,0.939,2.807,0.568,3.988,0.447,-999.0,9999.0,2.361,0.452
30,31.367445,-58.566082,2172.21,2.86,24.342,24,0.0,4.552,1,13.359,0.516,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,10.675,0.511,12.775,0.39,-999.0,9999.0,9.112,1.508
31,31.374857,-58.56604,2102.63,3.69,36.904,24,0.03,2.424,1,22.375,0.542,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,6.402,0.537,10.299,0.412,-999.0,9999.0,14.313,2.395
32,31.502493,-58.565994,904.48,4.49,11.061,19,0.74,2.827,1,8.621,0.727,0.895,0.092,1.853,0.057,2.547,0.154,3.833,0.168,5.132,0.203,4.898,0.609,5.623,0.53,6.841,0.396,-999.0,9999.0,4.525,0.443
33,31.501717,-58.566124,911.77,2.2,31.091,26,0.01,5.054,1,12.69,0.627,1.277,0.084,2.724,0.052,4.291,0.141,5.137,0.154,8.477,0.186,6.234,0.558,8.705,0.477,10.05,0.365,-999.0,9999.0,4.507,0.484
34,31.57251,-58.56588,247.2,5.61,5.496,16,0.65,2.262,1,5.737,0.569,-999.0,9999.0,1.297,0.087,-999.0,9999.0,-999.0,9999.0,5.236,0.31,5.006,0.934,3.764,0.565,4.675,0.432,-999.0,9999.0,2.992,0.449
35,31.557795,-58.566055,385.35,2.69,28.319,24,0.02,2.641,1,18.248,0.499,-999.0,9999.0,1.258,0.076,-999.0,9999.0,-999.0,9999.0,4.722,0.273,8.052,0.825,6.346,0.491,9.835,0.375,-999.0,9999.0,12.47,0.978
36,31.54965,-58.566063,461.79,2.73,10.873,24,0.52,1.849,1,7.685,0.501,-999.0,9999.0,2.091,0.077,-999.0,9999.0,-999.0,9999.0,9.567,0.273,9.479,0.826,7.809,0.498,8.127,0.387,-999.0,9999.0,0.027,0.131
37,31.447113,-58.56617,1424.34,1.61,10.81,24,0.92,1.61,1,10.912,0.464,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,14.513,0.463,15.631,0.365,-999.0,9999.0,4.647,0.458
38,31.555305,-58.565083,408.67,20.29,9.416,0,0.08,2.09,1,5.694,0.57,-999.0,9999.0,1.021,0.087,-999.0,9999.0,-999.0,9999.0,3.574,0.311,4.574,0.941,3.826,0.566,4.63,0.436,-999.0,9999.0,3.858,0.64
39,31.421028,-58.565258,1669.21,18.02,3.298,0,0.57,1.871,1,2.202,0.59,0.097,0.1,0.016,0.062,0.375,0.167,0.558,0.182,1.663,0.22,2.295,0.661,2.061,0.571,2.82,0.442,-999.0,9999.0,1.221,0.324
40,31.535496,-58.565376,594.65,15.3,11.225,0,0.01,4.232,1,4.83,0.575,-999.0,9999.0,1.285,0.087,-999.0,9999.0,-999.0,9999.0,3.218,0.311,4.087,0.94,3.514,0.818,3.968,0.521,-999.0,9999.0,1.724,0.323
41,31.345509,-58.565155,2378.16,19.31,10.643,0,0.02,3.505,1,6.737,0.609,0.584,0.1,0.882,0.087,1.253,0.167,1.395,0.182,2.28,0.311,2.222,0.929,1.424,1.271,4.852,1.13,-999.0,9999.0,9.816,1.495
42,31.369661,-58.565144,2151.43,19.8,11.557,0,0.01,3.996,1,5.373,0.581,0.881,0.1,1.323,0.087,1.65,0.167,1.865,0.182,3.406,0.311,4.396,0.929,4.455,0.579,4.008,0.438,-999.0,9999.0,5.622,1.23
43,31.520327,-58.565342,737.04,16.09,9.293,0,0.5,3.668,1,4.504,0.724,-999.0,9999.0,0.018,0.087,-999.0,9999.0,0.271,0.256,0.736,0.311,-0.322,0.939,1.781,0.761,2.839,0.715,-999.0,9999.0,3.58,0.455
44,31.361353,-58.564621,2229.43,29.1,18.517,0,0.01,2.459,1,10.523,0.581,2.995,0.1,4.125,0.1,4.985,0.167,4.86,0.182,5.305,0.311,6.864,0.929,5.171,0.697,7.018,0.457,-999.0,9999.0,19.247,2.747
45,31.586962,-58.563828,111.45,42.27,99.793,0,0.03,3.636,1,44.409,0.571,-999.0,9999.0,11.553,0.087,-999.0,9999.0,-999.0,9999.0,31.441,0.311,31.832,0.939,30.863,0.566,35.73,0.437,-999.0,9999.0,19.13,2.622
46,31.441921,-58.564198,1473.07,37.13,54.798,0,0.96,2.043,1,32.468,0.588,0.378,0.1,1.466,0.061,6.352,0.167,11.684,0.182,28.139,0.22,31.557,0.661,36.402,0.58,41.011,0.442,-999.0,9999.0,10.785,0.86
47,31.565228,-58.563526,315.47,48.12,37.823,0,0.02,2.914,1,19.09,0.575,-999.0,9999.0,0.433,0.087,-999.0,9999.0,-999.0,9999.0,1.541,0.311,1.025,0.941,4.372,0.568,6.739,0.436,-999.0,9999.0,27.361,1.589
48,31.353539,-58.564693,2302.78,27.67,6.101,0,0.75,0.804,1,3.4,0.579,-0.113,0.1,-0.017,0.087,-0.143,0.167,-0.065,0.182,0.02,0.311,0.507,0.929,0.214,0.832,-0.727,0.532,-999.0,9999.0,0.703,1.039
49,31.396591,-58.564678,1898.63,28.37,8.108,0,0.79,0.847,1,5.343,0.589,0.169,0.1,0.166,0.061,0.152,0.167,0.21,0.182,0.231,0.22,-0.362,0.66,0.514,0.579,0.277,0.454,-999.0,9999.0,1.306,0.538
50,31.484091,-58.563873,1077.19,42.81,25.908,0,0.07,2.188,1,15.488,0.572,0.045,0.099,-0.0,0.061,-0.199,0.166,0.202,0.182,0.549,0.219,1.025,0.659,2.73,0.576,5.831,0.446,-999.0,9999.0,25.241,1.269
51,31.539803,-58.563988,554.17,40.2,8.766,0,0.0,3.17,1,4.156,0.571,-999.0,9999.0,0.717,0.087,-999.0,9999.0,-999.0,9999.0,2.195,0.311,2.032,0.939,2.798,0.718,3.35,0.454,-999.0,9999.0,2.887,0.407
52,31.430483,-58.562859,1580.45,61.23,63.851,0,0.01,4.14,1,25.791,0.591,3.455,0.1,5.262,0.061,12.792,0.167,14.792,0.182,17.92,0.22,17.283,0.661,18.093,0.592,20.445,0.439,-999.0,9999.0,9.583,0.826
53,31.458063,-58.558994,1321.52,130.81,356.816,0,0.03,4.373,1,133.713,0.586,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,47.013,0.583,62.0,0.45,-999.0,9999.0,79.69,2.267
54,31.485697,-58.563503,1062.12,49.51,20.148,0,0.01,2.578,1,11.484,0.574,0.826,0.1,1.046,0.061,1.199,0.167,1.841,0.182,3.072,0.22,3.68,0.662,4.606,0.57,6.581,0.43,-999.0,9999.0,14.011,0.948
55,31.508038,-58.563805,852.38,43.88,11.809,0,0.9,2.023,1,6.614,0.904,-0.144,0.1,0.004,0.061,-0.129,0.167,0.145,0.182,0.853,0.22,1.43,0.661,2.483,0.566,2.588,0.431,-999.0,9999.0,8.981,0.906
56,31.413393,-58.563736,1740.89,45.41,3.019,0,0.5,1.812,1,2.41,0.592,0.214,0.1,0.253,0.061,0.406,0.167,0.316,0.182,1.156,0.22,0.578,0.66,0.606,0.591,0.406,0.444,-999.0,9999.0,0.418,0.289
57,31.474239,-58.563728,1169.68,45.49,3.53,0,0.53,2.115,1,2.056,0.575,0.069,0.1,0.054,0.062,0.342,0.167,0.288,0.182,0.312,0.22,-0.397,0.662,-0.281,0.575,0.691,0.448,-999.0,9999.0,4.005,0.639
58,31.365479,-58.562271,2190.74,71.45,83.087,0,0.03,2.806,1,43.943,0.585,-999.0,9999.0,3.287,0.105,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,18.37,0.93,19.89,0.575,26.897,0.43,-999.0,9999.0,16.306,2.711
59,31.370184,-58.562809,2146.56,61.83,68.456,0,0.03,2.684,1,36.833,0.584,-0.051,0.1,0.028,0.087,0.138,0.167,0.464,0.182,2.687,0.311,5.927,0.929,9.751,0.582,15.368,0.447,-999.0,9999.0,44.156,4.277
60,31.446245,-58.563011,1432.48,58.52,31.057,0,0.58,1.988,1,18.814,0.589,0.053,0.1,-0.022,0.062,0.103,0.167,0.221,0.188,4.82,0.22,7.727,0.662,12.86,0.583,19.448,0.445,-999.0,9999.0,6.079,0.709
61,31.596418,-58.562668,22.62,62.94,18.874,0,0.01,3.012,1,9.715,0.569,-999.0,9999.0,-0.104,0.087,-999.0,9999.0,-999.0,9999.0,0.323,0.269,6.451,0.939,0.456,0.573,1.907,0.427,-999.0,9999.0,27.028,3.145
62,31.412537,-58.56147,1748.95,86.17,167.691,0,0.03,3.883,1,69.725,0.588,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,40.301,0.574,43.002,0.442,-999.0,9999.0,36.394,2.013
63,31.486248,-58.56258,1056.93,66.12,41.385,0,0.03,2.718,1,22.437,0.576,0.249,0.1,0.244,0.08,-999.0,9999.0,0.899,0.182,3.222,0.246,2.55,0.732,6.734,0.57,9.006,0.438,-999.0,9999.0,25.005,1.184
64,31.433918,-58.562855,1548.22,61.32,25.477,0,0.01,2.944,1,13.423,0.589,0.735,0.1,0.917,0.061,1.234,0.167,1.495,0.182,2.299,0.22,3.17,0.661,4.934,0.584,6.971,0.432,-999.0,9999.0,17.945,1.06
65,31.573772,-58.563164,235.25,54.51,6.324,0,0.6,2.522,1,4.625,0.571,-999.0,9999.0,0.59,0.087,-999.0,9999.0,-999.0,9999.0,3.371,0.311,3.216,0.939,3.798,0.562,4.407,0.429,-999.0,9999.0,0.524,0.349
66,31.455709,-58.563404,1343.64,51.38,5.937,0,0.17,2.62,1,3.918,0.585,0.218,0.1,0.264,0.061,0.991,0.167,1.328,0.182,1.127,0.22,1.293,0.772,0.879,0.579,1.953,0.44,-999.0,9999.0,5.183,0.556
67,31.530888,-58.563107,637.86,56.19,5.541,0,0.22,2.255,1,3.304,0.587,-999.0,9999.0,0.549,0.087,-999.0,9999.0,-999.0,9999.0,0.933,0.311,1.807,0.939,3.135,0.76,1.413,0.678,-999.0,9999.0,0.214,0.122
68,31.450356,-58.56237,1393.89,70.01,35.793,0,0.91,2.049,1,21.435,0.583,-999.0,9999.0,0.799,0.089,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,18.258,0.777,22.654,0.578,24.837,0.449,-999.0,9999.0,5.862,0.651
69,31.545097,-58.562828,504.44,61.0,5.202,0,0.56,2.113,1,3.131,0.567,-999.0,9999.0,0.46,0.087,-999.0,9999.0,-999.0,9999.0,0.826,0.311,-0.888,0.939,0.961,0.675,2.626,0.455,-999.0,9999.0,1.316,0.247
70,31.587254,-58.563011,108.68,56.99,4.051,0,0.61,2.28,1,3.698,0.571,-999.0,9999.0,0.916,0.087,-999.0,9999.0,-999.0,9999.0,0.914,0.311,1.06,0.939,1.936,0.574,3.092,0.429,-999.0,9999.0,2.54,0.755
71,31.458967,-58.562714,1313.04,63.79,6.677,0,0.32,2.031,1,4.213,0.58,0.092,0.1,0.102,0.066,0.042,0.167,0.199,0.182,0.247,0.236,-0.442,0.663,0.331,0.578,0.842,0.438,-999.0,9999.0,7.766,0.718
72,31.413643,-58.562115,1738.56,74.59,14.383,0,0.0,3.268,1,8.128,0.587,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,5.908,0.582,6.495,0.45,-999.0,9999.0,4.139,0.553
73,31.568161,-58.56237,287.91,68.86,6.587,0,0.15,1.874,1,4.437,0.572,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,3.135,0.562,3.403,0.449,-999.0,9999.0,4.447,0.685
74,31.501141,-58.561886,917.1,78.48,11.55,0,0.0,2.655,1,6.942,0.736,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.228,0.563,3.52,0.439,-999.0,9999.0,6.432,0.582
75,31.571983,-58.562302,252.02,70.0,7.294,0,0.0,2.708,1,4.476,0.572,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.708,0.572,3.086,0.429,-999.0,9999.0,2.285,0.515
76,31.538765,-58.562054,563.88,75.06,11.51,0,0.13,2.464,1,6.334,0.571,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.518,0.732,3.719,0.464,-999.0,9999.0,3.207,0.463
