col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
1,-1.0,0.083,0.09,6.78399,0.03,7.528741,0.042,1.0,0.017,0.068,0.011,0.09,0.01,0.109,5,0.371865,0.0421,1.0,0.0361
2,-1.0,0.01,0.014,35.82906,0.01,35.82906,0.017,1.0,0.011,0.032,0.01,0.044,0.01,0.059,5,0.942042,0.0169,1.0,0.0114
3,-1.0,0.645,0.644,1025.966,0.257,1420.234,0.251,1.0,0.231,0.271,0.216,0.275,0.209,0.276,8,19.3522,0.2475,0.638,0.2613
4,-1.0,0.01,0.011,485.3339,0.01,485.3339,0.012,1.0,0.011,0.025,0.01,0.033,0.01,0.041,8,2.98139,0.01,1.0,0.0159
5,-1.0,1.929,1.93,2194.886,1.929,2194.886,1.929,1.0,1.895,1.964,1.887,1.972,1.886,2.021,8,59.3071,1.9289,0.494,1.9545
6,-1.0,0.295,0.29,458.7313,0.295,458.7313,0.29,1.0,0.272,0.308,0.265,0.314,0.256,0.325,11,3.98429,0.2896,1.0,0.2865
7,-1.0,0.232,0.226,3.385953,0.232,3.385953,0.227,1.0,0.195,0.259,0.175,0.281,0.158,0.298,11,0.0595068,0.2269,0.995,0.2382
8,-1.0,1.195,1.244,14.14249,1.195,14.14249,1.219,0.999,1.143,1.286,1.093,1.484,1.06,1.661,7,2.27966,1.2185,0.999,1.1295
9,-1.0,0.295,0.297,485.3465,0.295,485.3465,0.296,1.0,0.281,0.312,0.277,0.322,0.271,0.328,11,3.42909,0.2965,1.0,0.3023
10,-1.0,0.389,0.404,15.84968,0.361,16.41745,0.349,1.0,0.296,0.398,0.264,0.49,0.196,0.536,8,1.17186,0.3492,0.999,0.37
11,-1.0,0.549,0.528,9.652375,0.549,9.652375,0.525,1.0,0.47,0.577,0.431,0.61,0.382,0.638,11,0.364882,0.5253,1.0,0.5136
12,-1.0,1.307,1.391,2.77531,1.261,2.850342,1.304,0.979,1.115,1.498,0.965,1.768,0.728,2.081,11,0.479734,1.3031,0.998,1.3426
13,-1.0,0.909,0.896,3.004726,0.89,3.031471,0.879,1.0,0.798,0.961,0.705,1.02,0.634,1.072,11,0.176669,0.879,0.999,0.9635
14,-1.0,3.538,3.554,103.178,0.321,153.6143,1.848,0.0,0.312,3.58,0.289,3.634,0.277,3.669,11,8.24552E38,0.3305,0.526,0.3726
15,-1.0,0.58,0.576,1274.114,0.58,1274.114,0.574,1.0,0.554,0.596,0.543,0.603,0.542,0.604,11,9.95443,0.5715,0.697,0.579
