id,ra,dec,xpix,ypix,HAWKIKs_tot,K_flag,K_star,K_fluxrad,totmask,HAWKIKs,eHAWKIKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,FOURSTARJ1,eFOURSTARJ1,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2
1,316.464966,-58.823261,2004.84,21.37,15350.608,4,1.0,1.326,1,12000.513,1.107,2675.9,0.136,1382.498,0.115,1838.669,0.137,1109.986,0.188,1917.373,0.378,4280.975,0.769,12999.99,0.364,14142.304,0.519,-999.0,9999.0,-999.0,9999.0
2,316.445709,-58.823204,2184.4,22.24,107.522,0,0.27,2.553,1,70.371,1.332,0.199,0.136,0.158,0.115,1.744,0.137,5.191,0.188,12.36,0.378,15.234,0.769,20.271,0.364,27.998,0.534,-999.0,9999.0,-999.0,9999.0
3,316.566559,-58.823124,1058.37,23.91,58.999,0,0.06,2.087,1,43.599,1.191,0.178,0.135,0.202,0.082,0.735,0.137,1.895,0.188,8.204,0.267,10.556,0.543,16.46,0.364,20.784,0.519,37.519,11.765,-999.0,9999.0
4,316.607117,-58.823154,680.2,22.96,51.599,0,0.03,2.233,1,38.024,1.079,-999.0,9999.0,6.193,0.117,-999.0,9999.0,-999.0,9999.0,17.88,0.377,19.635,0.767,20.688,0.537,27.442,0.789,30.387,8.983,-999.0,9999.0
5,316.538879,-58.82338,1316.08,19.42,147.227,0,0.04,2.176,1,106.271,1.093,7.627,0.136,10.227,0.082,19.17,0.137,31.596,0.188,44.856,0.267,50.642,0.543,60.378,0.364,70.7,0.525,-999.0,9999.0,-999.0,9999.0
6,316.645477,-58.823414,322.97,17.72,201.11,0,0.98,1.322,1,164.496,1.085,-999.0,9999.0,48.356,0.117,-999.0,9999.0,-999.0,9999.0,180.409,0.377,183.327,0.767,209.967,0.364,219.362,0.512,48.863,11.639,-999.0,9999.0
7,316.618805,-58.823662,571.38,13.69,18.487,0,0.0,2.938,1,12.092,1.099,-999.0,9999.0,0.876,0.117,-999.0,9999.0,-999.0,9999.0,1.968,0.377,3.299,0.766,4.441,0.445,5.73,0.615,13.41,6.677,-999.0,9999.0
8,316.66571,-58.823589,134.35,14.22,48.12,0,0.99,1.228,1,41.201,1.078,-999.0,9999.0,3.184,0.117,-999.0,9999.0,-999.0,9999.0,34.104,0.377,36.355,0.767,47.626,0.364,51.724,0.513,15.254,6.601,-999.0,9999.0
9,316.498169,-58.823929,1695.41,9.56,125.992,16,1.0,1.264,1,103.727,1.131,0.445,0.136,1.458,0.082,5.214,0.137,10.957,0.188,52.385,0.267,67.843,0.543,103.187,0.364,120.581,0.525,-999.0,9999.0,-999.0,9999.0
10,316.509277,-58.823956,1592.06,9.07,24.61,16,0.02,2.52,1,17.681,1.136,0.156,0.136,0.293,0.082,0.496,0.137,0.723,0.188,1.873,0.267,1.956,0.543,3.889,0.364,5.418,0.533,-999.0,9999.0,-999.0,9999.0
11,316.560333,-58.823944,1116.39,9.2,48.293,16,0.03,2.679,1,31.364,1.333,0.214,0.135,0.44,0.082,0.937,0.137,2.257,0.188,4.745,0.266,6.535,0.542,8.212,0.363,11.631,0.519,39.068,14.16,-999.0,9999.0
12,316.505127,-58.824295,1630.63,2.98,96.689,24,0.04,1.984,1,76.382,1.027,-999.0,9999.0,3.038,0.073,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,35.487,0.326,38.65,0.483,-999.0,9999.0,-999.0,9999.0
13,316.672882,-58.823997,67.58,6.72,4.718,16,0.66,1.684,1,3.533,1.216,-999.0,9999.0,0.928,0.117,-999.0,9999.0,-999.0,9999.0,2.169,0.377,2.273,0.767,3.308,0.364,2.459,0.513,1.008,2.669,-999.0,9999.0
14,316.44989,-58.824303,2145.28,2.52,93.803,24,0.31,3.519,1,57.974,1.306,-999.0,9999.0,195.73,0.1,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,257.794,0.315,469.08,0.452,-999.0,9999.0,-999.0,9999.0
15,316.538849,-58.824341,1316.55,2.14,55.28,24,0.17,2.145,1,45.053,0.962,1.522,0.114,2.691,0.069,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,18.95,0.306,22.737,0.44,-999.0,9999.0,-999.0,9999.0
16,316.47702,-58.824326,1892.5,2.3,13.853,24,0.95,1.571,1,11.572,0.996,-999.0,9999.0,0.106,0.07,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,3.119,0.31,4.965,0.448,-999.0,9999.0,-999.0,9999.0
