id,ra,dec,xpix,ypix,HAWKIKs_tot,K_flag,K_star,K_fluxrad,totmask,HAWKIKs,eHAWKIKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,DECamz,eDECamz,FOURSTARJ1,eFOURSTARJ1,HAWKIJ,eHAWKIJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
1,8.936897,-43.284817,1765.22,96.18,19670.301,4,1.0,1.266,1,11091.526,0.6,3465.651,0.156,1459.998,0.085,2106.158,0.157,1219.503,0.164,2055.402,0.223,9303.744,2.417,13481.354,0.441,17591.094,0.272,3473.404,0.376,2270.485,0.352,1483.833,3.258,754.732,1.947
2,8.896868,-43.28928,2289.68,15.6,1134.67,24,0.03,3.964,1,403.612,1.614,1.728,0.156,5.547,0.12,19.768,0.157,67.712,0.115,122.106,0.307,148.355,0.314,181.491,0.479,221.283,0.605,210.648,0.311,168.152,0.316,128.341,2.471,53.432,3.738
3,8.900668,-43.289268,2239.88,15.79,110.545,16,0.02,5.047,1,35.368,1.019,1.934,0.156,2.887,0.12,6.426,0.157,11.898,0.116,17.337,0.307,19.856,0.159,21.39,0.431,23.124,0.527,17.814,0.282,15.16,0.288,5.896,2.411,11.558,2.75
4,8.966531,-43.289028,1376.93,20.39,20.617,0,0.08,2.236,1,10.401,0.735,0.024,0.156,0.239,0.085,0.096,0.158,0.278,0.116,0.258,0.224,1.236,0.119,2.18,0.432,3.735,0.334,14.09,0.263,16.065,0.306,14.816,1.311,10.581,1.532
5,8.953326,-43.289295,1549.94,15.6,7.134,0,0.09,2.454,1,3.98,0.733,0.038,0.156,0.032,0.085,-0.103,0.157,0.11,0.116,0.255,0.296,0.379,0.116,1.682,0.442,1.776,0.338,3.236,0.312,4.8,0.292,6.954,1.304,-1.974,1.659
6,9.024652,-43.289268,615.41,15.71,12.917,0,0.05,1.801,1,7.133,0.738,-999.0,9999.0,2.395,0.12,-999.0,9999.0,3.129,0.23,4.737,0.324,5.03,0.128,5.247,0.507,4.087,0.347,10.349,0.289,9.471,0.33,6.952,1.458,6.332,1.822
7,8.993836,-43.289528,1019.18,11.27,29.875,16,0.0,3.885,1,11.501,0.879,0.953,0.156,1.293,0.085,1.085,0.158,1.858,0.116,2.74,0.224,3.801,0.125,5.706,0.429,6.9,0.429,11.972,0.245,12.852,0.282,7.636,1.249,8.303,1.586
8,8.961558,-43.289551,1442.09,10.96,7.38,0,0.06,2.361,1,3.194,0.744,0.615,0.156,0.963,0.085,1.755,0.157,2.267,0.116,2.43,0.223,2.787,0.122,2.994,0.432,2.273,0.348,2.506,0.336,2.114,0.389,-4.062,1.699,-4.16,2.152
9,9.060884,-43.289433,140.7,12.26,6.065,0,0.06,2.021,1,3.4,0.741,-999.0,9999.0,0.657,0.12,-999.0,9999.0,-999.0,9999.0,0.701,0.325,1.133,0.12,1.269,0.431,2.302,0.349,3.711,0.331,4.128,0.378,4.697,1.686,-4.263,2.142
10,9.021066,-43.289486,662.41,11.82,4.283,0,0.59,2.153,1,2.531,0.742,-999.0,9999.0,1.808,0.12,-999.0,9999.0,2.319,0.23,3.679,0.324,2.94,0.123,3.239,0.616,2.103,0.348,8.832,0.295,5.529,0.34,9.206,1.486,1.675,1.867
11,8.946869,-43.289692,1634.55,8.47,22.978,16,0.05,2.166,1,12.125,0.755,1.251,0.156,1.606,0.085,1.37,0.157,1.925,0.116,2.525,0.223,3.11,0.123,5.0,0.445,6.762,0.36,11.499,0.339,13.293,0.312,8.171,3.2,5.681,1.773
12,8.892721,-43.289589,2344.0,10.0,9.207,17,0.03,7.236,1,-999.0,9999.0,-0.047,0.153,-0.067,0.117,-0.151,0.154,-0.288,0.131,-0.613,0.301,0.394,0.115,-0.676,0.526,-999.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
