col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
1,-1.0,0.105,0.107,2614.973,0.105,2614.973,0.105,1.0,0.092,0.118,0.089,0.121,0.088,0.132,13,11.3752,0.1051,1.0,0.1032
2,-1.0,0.474,0.476,57.25079,0.474,57.25079,0.475,1.0,0.456,0.493,0.446,0.506,0.429,0.511,13,0.468179,0.4748,1.0,0.4613
3,-1.0,0.431,0.44,15.94844,0.431,15.94844,0.439,1.0,0.408,0.472,0.387,0.499,0.364,0.525,13,0.263532,0.4391,0.999,0.4561
4,-1.0,2.018,1.889,13.03473,1.473,14.48254,1.715,0.994,1.449,2.022,1.333,2.225,1.214,2.336,13,1.69837,1.7142,0.999,1.6922
5,-1.0,1.652,1.711,27.63506,1.652,27.63506,1.659,0.985,1.516,1.808,1.377,2.074,0.536,2.37,13,5.14716,1.6669,0.99,1.8977
6,-1.0,1.088,1.101,17.28225,1.088,17.28225,1.099,1.0,1.048,1.149,1.023,1.205,1.017,1.281,11,0.574241,1.0992,0.998,1.0832
7,-1.0,1.449,1.433,13.28445,1.424,13.3095,1.427,1.0,1.37,1.484,1.302,1.533,1.191,1.593,13,0.535321,1.4267,0.999,1.4465
8,-1.0,0.417,0.382,22.0622,0.417,22.0622,0.392,0.999,0.325,0.458,0.225,0.517,0.097,0.57,13,1.04684,0.3922,0.999,0.2912
9,-1.0,1.958,1.848,10.9484,1.599,10.9938,1.677,0.903,1.381,2.032,0.908,2.334,0.517,2.619,10,3.76341,1.6755,0.998,1.8764
10,-1.0,1.068,1.073,52.90242,1.068,52.90242,1.072,1.0,1.041,1.119,0.76,1.176,0.7,1.255,11,3.7407,1.0826,0.965,1.088
11,-1.0,1.599,1.632,15.71141,1.548,15.85227,1.606,1.0,1.497,1.722,1.437,1.834,1.374,1.936,13,0.882059,1.6054,0.999,1.5653
12,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
13,-1.0,0.417,0.403,33.7135,0.417,33.7135,0.405,1.0,0.356,0.453,0.305,0.49,0.26,0.52,13,0.879802,0.4053,0.999,0.4217
14,-1.0,2.203,2.188,66.92118,2.203,66.92118,2.173,1.0,2.09,2.254,2.041,2.313,2.007,2.379,10,3.56459,2.1728,0.999,2.2508
15,-1.0,3.149,2.854,11.6053,0.504,14.86341,1.483,0.091,0.422,3.083,0.318,3.326,0.223,3.511,11,86.6515,0.613,0.638,0.7809
16,-1.0,1.4,1.317,33.55521,1.33,33.6555,1.272,0.944,1.176,1.426,0.556,1.488,0.512,1.548,11,4.72492,1.272,0.999,1.3578
17,-1.0,3.027,3.077,11.12559,2.078,11.9075,2.168,0.774,1.61,2.745,1.295,3.431,1.029,4.118,13,4.68061,2.1643,0.997,1.7455
18,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
19,-1.0,0.01,0.152,12.98556,0.308,15.82232,0.278,0.985,0.083,0.406,0.021,0.496,0.011,0.787,10,2.33712,0.2768,0.996,0.1681
20,-1.0,2.434,2.286,26.88472,2.235,27.45181,1.942,0.878,1.403,2.379,1.012,2.52,0.535,3.232,8,19.0804,1.9391,0.998,2.2958
21,-1.0,1.523,1.536,24.26674,1.498,24.29648,1.519,1.0,1.433,1.607,1.361,1.712,1.233,1.848,13,1.4935,1.5193,0.999,1.5682
22,-1.0,1.239,1.23,20.89426,1.217,20.92749,1.22,0.999,1.124,1.32,1.036,1.395,0.777,1.46,13,1.43034,1.2201,0.999,1.3355
23,-1.0,0.295,0.288,6.033171,0.295,6.033171,0.307,1.0,0.221,0.387,0.132,0.456,0.054,0.523,11,0.369188,0.3072,0.999,0.1847
24,-1.0,0.549,0.534,8.849187,0.549,8.849187,0.542,0.985,0.472,0.629,0.297,0.702,0.113,0.764,11,0.731672,0.542,1.0,0.5132
25,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
26,-1.0,0.01,1.2,9.431316,0.817,10.30945,1.096,0.513,0.497,1.732,0.142,2.37,0.029,2.863,13,5.9033,1.093,0.998,1.9008
27,-1.0,0.835,0.834,17.47875,0.835,17.47875,0.832,1.0,0.794,0.872,0.757,0.908,0.717,0.953,13,0.411536,0.8318,1.0,0.8148
28,-1.0,1.152,0.972,11.15978,1.088,11.29785,0.931,0.976,0.65,1.185,0.538,1.3,0.464,1.389,13,1.27656,0.9304,0.999,0.9747
29,-1.0,2.794,2.473,17.87332,1.307,19.18588,1.473,0.745,1.091,2.51,0.751,2.933,0.476,3.137,11,9.36612,1.2273,0.823,1.2562
30,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
31,-1.0,0.051,0.426,8.570198,0.645,10.57732,0.641,0.581,0.168,1.042,0.049,1.547,0.013,1.864,10,4.81661,0.6388,0.998,0.3358
