id,ra,dec,xpix,ypix,FOURSTARKs_tot,K_flag,K_star,K_fluxrad,totmask,FOURSTARKs,eFOURSTARKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,FOURSTARJ1,eFOURSTARJ1,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
1,34.953476,-5.606204,1108.61,37.02,363.551,0,0.98,2.007,0,281.429,0.67,2.987,0.153,15.988,0.114,53.444,0.231,103.599,0.285,218.407,0.297,262.518,0.742,310.753,0.478,327.698,0.531,120.025,0.986,81.88,1.52,49.552,6.311,12.892,7.408
2,34.911636,-5.607005,1858.14,22.61,42.177,0,0.0,4.484,0,20.281,0.682,2.455,0.153,2.933,0.114,3.309,0.231,4.442,0.261,5.38,0.297,6.08,0.741,10.1,0.486,13.158,0.524,23.071,0.813,28.094,1.117,8.548,6.757,13.841,5.268
3,34.904533,-5.607326,1985.39,16.82,7.123,0,0.06,3.156,0,4.631,0.675,0.373,0.153,0.388,0.162,1.216,0.231,0.919,0.261,1.711,0.419,1.588,1.047,1.697,0.48,2.195,0.534,10.134,0.715,17.411,0.946,26.912,7.853,20.227,6.742
4,34.923672,-5.607378,1642.54,15.9,4.916,0,0.53,2.359,0,4.271,0.677,0.364,0.154,0.588,0.114,1.305,0.231,2.157,0.261,2.718,0.297,3.181,0.742,3.209,0.488,2.784,0.51,0.984,0.702,4.06,1.351,9.707,5.333,10.648,6.68
5,34.986774,-5.607549,512.11,12.78,18.634,0,0.32,3.26,1,11.397,0.816,-999.0,9999.0,0.327,0.161,-999.0,9999.0,-999.0,9999.0,1.938,0.42,1.66,1.049,4.502,0.571,5.896,0.61,15.928,0.908,12.909,1.613,-9.918,5.63,13.826,8.65
6,35.001232,-5.607454,253.1,14.45,13.2,0,0.84,2.097,1,10.342,0.666,-999.0,9999.0,0.054,0.161,-999.0,9999.0,-999.0,9999.0,1.847,0.421,3.134,1.05,4.664,0.474,5.352,0.52,11.667,0.541,6.416,0.647,12.823,7.225,16.882,7.577
7,34.989273,-5.607574,467.37,12.32,25.042,16,0.02,2.736,1,18.122,0.729,-999.0,9999.0,1.455,0.161,-999.0,9999.0,-999.0,9999.0,6.496,0.421,6.569,1.05,9.136,0.497,11.106,0.556,19.211,0.997,10.52,1.58,11.935,6.185,18.122,7.769
8,34.91539,-5.607603,1790.88,11.85,26.087,0,0.65,2.086,0,20.774,0.674,0.142,0.153,0.469,0.114,2.092,0.231,4.469,0.261,15.026,0.297,19.269,0.742,23.36,0.478,26.17,0.523,12.373,1.105,1.816,1.433,-0.039,6.695,10.224,6.758
9,34.994717,-5.607526,369.83,13.17,22.786,0,0.97,1.047,1,19.174,0.668,-999.0,9999.0,0.024,0.161,-999.0,9999.0,-999.0,9999.0,-0.235,0.421,-0.28,1.049,-0.375,0.474,-0.264,0.514,3.911,0.54,4.124,1.629,52.554,6.829,10.214,7.546
10,34.985245,-5.607731,539.5,9.49,17.671,19,0.06,3.84,1,9.908,0.92,-999.0,9999.0,1.536,0.161,-999.0,9999.0,-999.0,9999.0,2.83,0.422,4.339,1.053,5.022,0.649,6.17,0.676,9.354,0.739,10.357,1.286,-3.808,5.059,9.088,6.067
11,34.985466,-5.607973,535.54,5.14,13.591,19,0.1,2.773,1,10.995,0.896,-999.0,9999.0,1.808,0.16,-999.0,9999.0,-999.0,9999.0,3.138,0.407,4.228,1.045,5.834,0.641,8.018,0.682,14.536,0.774,11.851,1.346,-1.024,5.237,21.428,6.347
12,34.954533,-5.607787,1089.65,8.53,5.752,0,0.06,2.571,0,4.386,0.671,0.758,0.154,1.479,0.114,2.556,0.231,3.306,0.261,3.483,0.297,3.718,0.742,3.868,0.494,4.317,0.525,5.082,1.143,2.974,1.947,-16.254,7.599,3.426,8.377
13,35.009762,-5.607971,100.34,5.13,19.339,16,0.01,2.401,1,14.986,0.665,-999.0,9999.0,0.254,0.16,-999.0,9999.0,-999.0,9999.0,0.731,0.419,3.68,1.044,3.113,0.472,4.953,0.513,25.041,0.532,19.536,0.62,15.546,7.238,11.909,7.025
14,34.963039,-5.608123,937.33,2.47,58.324,24,0.98,2.111,0,49.652,0.572,0.567,0.132,0.345,0.098,1.044,0.199,0.501,0.225,0.469,0.256,3.664,0.64,10.58,0.401,12.115,0.452,47.998,0.517,46.337,0.794,31.252,3.397,24.505,4.101
15,35.012833,-5.608029,45.32,4.07,3.018,16,0.62,1.604,1,2.774,0.637,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.312,0.46,2.781,0.504,8.707,1.035,3.145,1.174,-25.516,13.676,-11.957,14.687
16,34.947315,-5.60815,1218.98,2.0,4.111,24,0.77,0.813,0,3.584,0.558,-0.094,0.127,-0.117,0.095,0.198,0.192,0.004,0.216,-0.378,0.246,0.356,0.615,0.12,0.402,-0.696,0.437,1.234,0.582,-1.094,0.905,-3.125,3.616,12.139,4.616
