id,ra,dec,xpix,ypix,HAWKIKs_tot,K_flag,K_star,K_fluxrad,totmask,HAWKIKs,eHAWKIKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,HAWKIY,eHAWKIY,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
1,53.712215,-29.531481,2325.64,613.26,31.097,1,0.97,1.731,1,21.814,4.385,0.162,0.075,0.191,0.068,0.371,0.104,0.965,0.064,3.118,0.161,5.394,0.346,-999.0,9999.0,13.945,1.519,44.957,3.986,38.172,3.904,2.119,5.134,7.112,4.655
2,53.673279,-29.399342,2937.33,2991.39,880.45,24,0.03,7.794,1,178.416,1.268,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,124.461,0.316,-999.0,9999.0,103.418,3.671,73.763,10.837,56.165,2.577,311.627,2.184
3,53.710094,-29.398939,2359.99,2998.98,38.019,24,0.97,1.852,1,32.555,0.953,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,9.109,0.222,-999.0,9999.0,29.288,2.01,22.907,6.948,15.455,2.54,6.385,2.406
4,53.71875,-29.398945,2224.2,2998.93,19.328,24,0.99,1.615,1,15.342,0.96,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,7.942,0.224,-999.0,9999.0,12.327,1.288,11.61,5.292,9.534,2.905,9.31,2.795
5,53.745998,-29.399067,1796.9,2996.87,48.951,24,0.27,3.345,1,26.944,1.369,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,7.55,0.337,-999.0,9999.0,36.294,2.289,43.464,10.318,31.106,2.997,22.59,3.571
6,53.788528,-29.398937,1129.93,2999.19,14.338,24,0.73,3.386,1,9.721,0.924,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,4.357,0.218,-999.0,9999.0,5.454,0.939,4.681,3.133,1.923,1.316,-1.041,1.727
7,53.815697,-29.398977,703.91,2998.35,143.439,24,0.02,6.267,1,50.832,1.848,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,39.701,0.37,-999.0,9999.0,34.083,2.375,25.709,6.734,18.967,1.633,107.177,2.219
8,53.685589,-29.399099,2744.28,2995.89,32.033,16,0.09,3.278,1,17.131,1.132,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,11.2,0.268,-999.0,9999.0,12.205,1.584,10.807,5.425,19.546,4.291,6.887,4.135
9,53.694698,-29.399174,2601.4,2994.64,24.79,16,0.95,2.004,1,16.038,1.113,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.118,0.264,-999.0,9999.0,21.86,2.241,19.718,7.953,-3.274,4.718,20.977,4.537
10,53.708332,-29.399361,2387.61,2991.38,30.712,16,1.0,1.771,1,21.902,1.087,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,12.811,0.261,-999.0,9999.0,28.414,2.095,29.75,8.168,29.132,3.813,43.634,3.625
11,53.796963,-29.399416,997.66,2990.55,45.007,0,0.98,1.727,1,29.668,1.054,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,26.994,0.262,-999.0,9999.0,12.767,2.035,7.545,4.912,22.384,3.478,1.342,4.55
12,53.681149,-29.399395,2813.9,2990.52,12.698,0,0.91,1.775,1,9.13,1.099,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.033,0.27,-999.0,9999.0,12.87,1.771,10.687,6.157,13.131,4.047,-2.281,4.559
13,53.699947,-29.399454,2519.09,2989.65,16.713,0,0.55,2.228,1,10.616,1.056,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.251,0.266,-999.0,9999.0,11.4,1.507,6.51,4.268,-16.074,3.969,18.199,4.482
14,53.708988,-29.399502,2377.3,2988.84,43.013,0,0.97,1.932,1,28.639,1.064,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,9.231,0.263,-999.0,9999.0,33.904,2.356,29.926,8.615,7.411,4.076,30.889,3.633
15,53.758396,-29.399673,1602.52,2985.96,4.465,0,0.5,1.459,1,3.764,1.047,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.742,0.262,-999.0,9999.0,2.502,0.783,1.877,1.892,-0.596,3.015,-0.008,3.095
16,53.807076,-29.399786,839.11,2983.83,13.5,0,0.12,2.651,1,7.91,1.078,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,9.059,0.285,-999.0,9999.0,6.041,1.383,4.76,3.733,2.632,3.298,4.714,4.006
17,53.703331,-29.399841,2465.99,2982.69,5.95,0,0.6,1.552,1,5.038,1.05,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,3.432,0.26,-999.0,9999.0,6.121,0.847,4.943,2.977,11.376,2.427,-3.372,2.357
18,53.7901,-29.401386,1105.35,2955.11,2398.867,16,0.03,6.89,1,687.053,0.939,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,275.938,0.221,-999.0,9999.0,288.658,8.678,232.904,24.374,144.803,2.728,87.677,4.025
19,53.703213,-29.400511,2467.84,2970.66,22.463,0,0.15,2.4,1,13.786,1.021,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.074,0.249,-999.0,9999.0,26.896,2.315,28.551,9.164,20.112,4.281,15.332,4.186
20,53.729637,-29.40057,2053.51,2969.75,68.702,0,0.99,1.784,1,45.351,1.009,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,40.565,0.252,-999.0,9999.0,20.752,1.759,15.384,6.937,-2.561,4.541,6.606,4.436
21,53.750771,-29.400908,1722.05,2963.77,330.89,0,0.99,1.711,1,218.325,1.084,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,206.272,0.251,-999.0,9999.0,82.183,4.301,56.247,11.515,23.966,3.874,11.562,4.109
22,53.724224,-29.401009,2138.39,2961.82,50.494,0,0.0,3.752,1,23.969,0.98,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,7.729,0.233,-999.0,9999.0,34.975,2.14,38.849,10.778,35.835,3.903,29.368,3.829
23,53.68166,-29.401079,2805.83,2960.23,120.277,0,0.08,3.094,1,60.152,0.984,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,9.73,0.237,-999.0,9999.0,83.377,4.141,83.76,14.987,71.078,5.517,28.614,3.829
24,53.812546,-29.40085,753.36,2964.63,15.071,0,0.8,2.64,1,9.328,1.33,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,5.866,0.3,-999.0,9999.0,11.46,2.033,7.952,4.179,9.062,3.618,6.932,5.009
25,53.738472,-29.401154,1914.95,2959.29,24.308,0,0.85,2.526,1,14.174,1.241,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.326,0.27,-999.0,9999.0,21.303,1.705,26.747,8.649,7.379,4.101,11.256,4.005
26,53.722973,-29.401136,2157.97,2959.53,12.002,0,0.83,2.06,1,7.778,0.964,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.509,0.228,-999.0,9999.0,9.21,1.199,3.882,3.938,-1.089,4.22,-5.082,4.22
27,53.725288,-29.401312,2121.69,2956.38,29.577,0,0.01,2.319,1,19.233,0.963,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,9.75,0.223,-999.0,9999.0,20.148,1.65,18.61,7.29,10.853,3.579,28.071,3.964
28,53.688,-29.401384,2706.43,2954.78,8.87,0,0.64,1.948,1,6.101,0.958,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,3.264,0.222,-999.0,9999.0,7.008,1.237,3.249,3.478,-3.212,4.094,-3.198,4.355
29,53.753357,-29.400396,1681.54,2972.96,4.8,0,0.55,1.479,1,4.032,1.031,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.769,0.254,-999.0,9999.0,2.3,0.689,-0.996,0.2,-8.643,2.934,-4.159,2.823
30,53.724636,-29.401636,2131.89,2950.53,20.815,0,0.31,2.56,1,13.323,0.947,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,5.009,0.22,-999.0,9999.0,18.732,1.348,20.393,6.222,20.685,2.672,11.338,2.81
31,53.775478,-29.402025,1334.59,2943.66,121.726,0,0.03,3.824,1,54.958,0.952,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,11.589,0.213,-999.0,9999.0,72.96,4.58,56.19,12.306,31.934,3.639,16.296,4.289
32,53.689625,-29.401768,2680.92,2947.89,50.467,0,0.03,2.754,1,28.205,0.95,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,8.848,0.219,-999.0,9999.0,33.59,2.762,23.338,9.453,-3.895,4.176,6.69,4.182
33,53.757633,-29.401838,1614.48,2947.0,19.548,0,0.01,2.704,1,11.218,0.935,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,5.255,0.214,-999.0,9999.0,11.739,1.935,8.462,4.037,8.997,4.342,5.391,3.314
34,53.688217,-29.401846,2702.98,2946.47,3.993,0,0.54,1.428,1,3.142,0.937,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,0.584,0.213,-999.0,9999.0,5.16,0.854,3.755,2.885,6.829,2.562,14.031,2.583
35,53.80365,-29.400688,892.82,2967.61,438.662,2,0.03,3.167,1,217.366,0.985,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,87.028,0.245,-999.0,9999.0,102.373,5.29,80.298,14.857,49.289,3.003,59.358,4.439
36,53.679001,-29.398907,2847.57,2999.29,9.13,24,0.86,1.127,1,7.858,0.957,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.222,0.221,-999.0,9999.0,11.817,1.601,16.398,6.476,24.129,2.976,35.048,3.334
37,53.802158,-29.402372,916.23,2937.29,14.387,0,0.94,1.752,1,10.833,0.932,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,4.346,0.21,-999.0,9999.0,7.103,0.901,4.953,1.887,3.437,0.913,3.166,1.323
38,53.704803,-29.402582,2442.87,2933.38,17.712,0,0.05,2.151,1,11.587,0.918,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,6.183,0.208,-999.0,9999.0,7.626,1.445,4.837,5.307,7.212,5.194,0.358,4.766
39,53.800991,-29.402885,934.52,2928.07,1719.331,0,1.0,1.741,1,1112.0,0.912,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1029.967,0.208,-999.0,9999.0,421.524,12.034,290.374,23.661,149.078,3.501,84.415,4.515
40,53.674419,-29.402555,2919.35,2933.54,25.195,0,0.41,2.088,1,16.332,1.06,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.784,0.234,-999.0,9999.0,22.493,2.376,25.958,9.799,15.708,4.43,9.189,4.334
41,53.678364,-29.402502,2857.49,2934.56,9.511,0,0.61,2.524,1,5.794,0.928,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,3.965,0.212,-999.0,9999.0,1.487,0.614,1.115,2.539,11.412,3.807,-4.11,3.66
42,53.727249,-29.402838,2090.95,2928.92,21.738,0,0.09,3.037,1,11.305,0.917,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,5.217,0.208,-999.0,9999.0,16.238,1.689,16.326,7.89,22.956,4.54,-1.276,4.006
43,53.706738,-29.402729,2412.57,2930.76,29.776,0,0.01,2.804,1,17.575,0.913,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,5.432,0.207,-999.0,9999.0,23.525,2.18,22.764,8.671,7.784,4.623,11.298,4.178
44,53.794094,-29.402664,1042.72,2932.1,9.444,0,0.55,2.06,1,8.882,0.912,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.429,0.208,-999.0,9999.0,12.862,2.041,14.348,6.115,25.736,2.275,-7.86,2.928
45,53.797993,-29.402664,981.53,2932.08,5.133,0,0.59,1.483,1,4.081,0.912,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,0.551,0.209,-999.0,9999.0,5.141,1.663,6.12,6.583,5.181,4.069,-5.565,4.592
