PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,UMINB,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
1,1.32,0,0,0,-1,0,0,0,0,0,0
2,1.32,0,0,0,-1,0,0,0,0,0,0
3,1.32,0,0,0,-1,0,0,0,0,0,0
4,1.32,0.682,0.952,0.849,0.654,1.115,1.689,0.932,0,0,0
5,1.32,0.729,1.119,1.103,0.744,1.082,1.732,1.499,0,0,0
6,1.32,0.319,0.41,0.604,0.245,0.884,1.349,0.769,0,0,0
7,1.32,0.515,0.703,0.946,0.353,0.98,1.619,1.401,0,0,0
8,1.32,0.917,1.465,0.928,1.126,1.026,1.733,1.036,0,0,0
9,1.32,0.63,0.845,0.847,1.169,0.647,0.963,0.826,0,0,0
10,1.32,0.79,1.121,0.033,0.27,1.439,2.34,1.511,0,0,0
11,1.32,0.672,0.93,1.059,0.779,0.887,1.354,1.19,0,0,0
12,1.32,0.212,0.178,0.203,0.269,0.419,0.658,0.309,0,0,0
13,1.32,0.486,0.632,0.592,0.758,0.63,0.862,0.697,0,0,0
14,1.32,0.299,0.338,0.312,0.441,0.568,0.766,0.536,0,0,0
15,1.32,0.846,1.269,0.184,0.429,1.282,2.222,1.252,0,0,0
16,1.32,0,0,0,-1,0,0,0,0,0,0
17,1.32,0.244,0.263,0.442,0.239,0.763,1.081,0.597,0,0,0
18,1.32,0.579,0.801,0.9,0.235,0.739,1.281,1.656,0,0,0
19,1.32,0.329,0.379,0.305,0.535,0.559,0.75,0.462,0,0,0
20,1.32,0.242,0.243,0.496,0.398,0.61,0.831,0.529,0,0,0
21,1.32,0.994,1.524,1.906,2.506,1.392,2.273,1.251,0,0,0
22,1.32,0.212,0.178,-0.06,0.062,0.626,0.809,0.08,0,0,0
23,1.32,0.525,0.735,0.654,0.59,0.6,1.067,1.047,0,0,0
24,1.32,0.37,0.569,1.12,0.488,0.458,0.648,1.322,0,0,0
25,1.32,0.286,0.357,0.737,0.353,0.684,1.145,0.915,0,0,0
26,1.32,0.733,1.253,1.877,1.499,0.859,1.518,1.723,0,0,0
27,1.32,0.494,0.642,0.423,1.083,0.48,0.717,0.39,0,0,0
28,1.32,0.312,0.39,0.674,0.314,0.506,0.677,0.9,0,0,0
29,1.32,0.413,0.517,0.311,0.572,0.712,1.063,0.55,0,0,0
30,1.32,0,0,0,-1,0,0,0,0,0,0
31,1.32,0,0,0,-1,0,0,0,0,0,0
32,1.32,0.357,0.428,0.39,0.073,0.594,0.892,0.91,0,0,0
33,1.32,0.334,0.389,0.36,0.127,0.675,0.969,0.891,0,0,0
34,1.32,0.212,0.178,0.286,0.347,0.665,0.871,0.198,0,0,0
35,1.32,0.444,0.717,0.996,0.417,0.545,0.901,1.332,0,0,0
36,1.32,0.212,0.178,-0.061,0.01,0.767,1.838,0.986,0,0,0
37,1.32,0,0,0,-1,0,0,0,0,0,0
38,1.32,0.281,0.308,0.343,0.666,0.581,0.856,0.463,0,0,0
39,1.32,0.835,1.237,0.015,0.474,1.304,2.188,0.932,0,0,0
40,1.32,0.232,0.223,0.166,0.406,0.41,0.608,0.46,0,0,0
41,1.32,0.476,0.717,0.844,1.472,0.54,0.804,0.774,0,0,0
42,1.32,0.42,0.527,0.427,0.847,0.491,0.604,0.379,0,0,0
43,1.32,1.057,1.588,0.785,0.841,1.133,1.857,1.263,0,0,0
44,1.32,0.213,0.179,0.84,2.519,0.277,0.294,0.811,0,0,0
45,1.32,0.213,0.18,0.416,0.264,0.432,0.692,0.414,0,0,0
46,1.32,0.632,0.845,-0.052,0.195,1.42,2.324,1.507,0,0,0
47,1.32,0.984,1.692,1.384,1.323,0.984,1.692,1.384,0,0,0
48,1.32,0.894,1.411,1.247,-1,0,0,0,0,0,0
49,1.32,0.327,0.609,1.247,0.6,0.238,0.253,1.915,0,0,0
50,1.32,1.43,2.328,1.265,1.561,1.304,2.125,1.143,0,0,0
51,1.32,0.422,0.533,0.368,0.749,0.532,0.806,0.565,0,0,0
52,1.32,0.213,0.18,0.392,0.255,0.712,0.954,0.405,0,0,0
53,1.32,0,0,0,-1,0,0,0,0,0,0
