PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,U_B,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
1,1.335,1.123,1.901,-0.06,0.105,0.212,0.178,1.486,0,0,0
2,1.335,0.682,0.964,0.446,0.475,1.287,2.031,1.166,0,0,0
3,1.335,0.429,0.543,0.158,0.439,0.815,1.252,0.722,0,0,0
4,1.335,1.071,1.817,1.259,1.714,0.924,1.496,1.017,0,0,0
5,1.335,1.328,2.19,0.906,1.667,0.923,1.493,0.573,0,0,0
6,1.335,0.216,0.185,0.619,1.099,0.242,0.223,0.423,0,0,0
7,1.335,0.641,1.01,0.609,1.427,0.607,0.847,0.555,0,0,0
8,1.335,0.213,0.18,-0.043,0.392,0.516,0.658,0.248,0,0,0
9,1.335,0.624,1.045,0.617,1.675,0.503,0.785,0.481,0,0,0
10,1.335,0.212,0.178,0.797,1.083,0.213,0.179,-0.052,0,0,0
11,1.335,0.614,1.105,0.691,1.605,0.559,0.841,0.518,0,0,0
12,1.335,0.834,1.411,1.611,-1,0,0,0,0,0,0
13,1.335,0.58,0.771,0.035,0.405,1.092,1.656,0.973,0,0,0
14,1.335,0.727,1.305,1.039,2.173,0.617,0.962,0.405,0,0,0
15,1.335,0.212,0.178,0.29,0.613,0.344,0.358,0.031,0,0,0
16,1.335,0.758,1.252,0.775,1.272,0.759,1.268,0.865,0,0,0
17,1.335,1.44,2.341,1.248,2.164,1.298,2.075,0.779,0,0,0
18,1.335,0.834,1.411,-0.038,-1,0,0,0,0,0,0
19,1.335,0.282,0.334,-0.061,0.277,0.218,1.421,0.659,0,0,0
20,1.335,0.978,1.664,1.19,1.939,0.95,1.935,0.734,0,0,0
21,1.335,0.735,1.297,0.927,1.519,0.629,0.981,0.839,0,0,0
22,1.335,0.427,0.548,0.45,1.22,0.422,0.582,0.549,0,0,0
23,1.335,0.24,0.255,-0.06,0.307,0.433,0.613,0.505,0,0,0
24,1.335,0.544,0.739,0.397,0.542,0.778,1.342,1.009,0,0,0
25,1.335,0.834,1.411,1.807,-1,0,0,0,0,0,0
26,1.335,0.369,0.722,0.162,1.093,0.269,0.362,0.307,0,0,0
27,1.335,0.588,0.833,0.6,0.832,0.648,0.965,0.924,0,0,0
28,1.335,0.68,0.973,0.818,0.93,0.713,1.203,1.258,0,0,0
29,1.335,0.3,0.406,0.643,1.227,0.304,0.417,0.654,0,0,0
30,1.335,0.834,1.411,1.8,-1,0,0,0,0,0,0
31,1.335,0.62,0.958,0.207,0.639,0.294,0.465,0.898,0,0,0
32,1.335,0.369,0.575,0.207,1.517,0.347,0.464,0.091,0,0,0
33,1.335,0.487,0.634,0.529,1.055,0.488,0.715,0.858,0,0,0
34,1.335,0.273,0.335,-0.06,0.192,0.474,0.739,0.497,0,0,0
35,1.335,0.396,0.495,0.562,1.123,0.424,0.538,0.596,0,0,0
36,1.335,0.342,0.402,0.299,0.037,0.303,0.494,0.818,0,0,0
37,1.335,0.367,0.439,-0.054,0.403,0.758,1.043,0.492,0,0,0
38,1.335,0.485,0.628,-0.01,0.395,0.931,1.428,0.785,0,0,0
39,1.335,0.813,1.186,0.101,0.298,1.255,2.062,1.363,0,0,0
40,1.335,0.405,0.629,0,0.353,0.607,0.818,1.212,0,0,0
41,1.335,0.369,0.607,0.632,0.973,0.25,0.303,1.075,0,0,0
42,1.335,0.834,1.411,1.902,-1,0,0,0,0,0,0
43,1.335,0.453,0.581,-0.06,0.272,1.092,1.495,0.747,0,0,0
44,1.335,0.246,0.24,-0.06,0.356,0.683,0.852,0.403,0,0,0
45,1.335,0.627,0.869,0.874,1.349,0.625,0.855,0.867,0,0,0
46,1.335,0.328,0.373,0.846,0.087,0.212,0.179,0.535,0,0,0
47,1.335,0.214,0.219,0.452,1.289,0.216,0.229,0.462,0,0,0
48,1.335,0.256,0.255,-0.061,0.109,0.627,1.137,0.706,0,0,0
49,1.335,0.448,0.69,0.278,1.775,0.481,0.446,-0.007,0,0,0
50,1.335,0.348,0.544,0.324,0.345,0.416,0.581,0.828,0,0,0
51,1.335,0.535,0.709,0.285,0.381,1.124,1.767,0.968,0,0,0
52,1.335,0.638,0.853,0.213,2.26,0.641,0.794,0.113,0,0,0
53,1.335,1.439,2.34,1.248,1.948,1.349,1.821,0.765,0,0,0
54,1.335,0.31,0.348,-0.061,0.021,1.332,2.186,1.14,0,0,0
55,1.335,0.831,1.441,1.256,1.423,0.804,1.339,1.181,0,0,0
56,1.335,0.657,0.884,0.487,0.449,1.184,1.925,1.167,5,99,0
57,1.335,0.476,0.61,0.242,0.839,0.559,0.715,0.277,0,0,0
58,1.335,0.265,0.28,0.386,1.172,0.282,0.319,0.433,0,0,0
59,1.335,0.549,0.979,0.616,2.043,0.506,0.668,0.304,0,0,0
60,1.335,0.736,1.06,0.589,1.451,0.561,0.776,0.535,0,0,0
61,1.335,0.571,0.806,0.719,0.565,0.876,1.453,1.302,0,0,0
62,1.335,1.069,1.633,0.921,1.149,1.069,1.802,1.182,0,0,0
63,1.335,0.518,0.824,0.548,1.154,0.504,0.858,0.643,0,0,0
64,1.335,0.394,0.65,0.331,1.603,0.353,0.491,0.137,0,0,0
65,1.335,0.29,0.368,-0.058,0.146,0.683,1.208,0.668,0,0,0
66,1.335,0.212,0.178,0.212,3.049,0.212,0.178,0.31,0,0,0
67,1.335,0.624,0.834,-0.061,0.279,0.966,1.516,0.819,0,0,0
68,1.335,0.466,0.749,0.203,1.628,0.396,0.433,-0.057,0,0,0
69,1.335,0.432,0.588,0.557,0.824,0.4,0.641,0.83,0,0,0
70,1.335,0.647,0.867,-0.061,0.249,1.315,1.918,1.062,0,0,0
71,1.335,0.435,0.749,0.528,1.155,0.395,0.663,0.807,0,0,0
72,1.335,0.715,1.167,1.613,-1,0,0,0,0,0,0
73,1.335,0.212,0.178,0.196,0.364,0.56,0.609,0.163,0,0,0
74,1.335,0.523,0.887,0.701,1.807,0.558,0.715,0.344,0,0,0
75,1.335,0.265,0.273,-0.059,0.48,0.541,0.715,0.406,0,0,0
76,1.335,0.733,1.125,1.052,0.81,0.867,1.508,1.356,0,0,0
77,1.335,0.316,0.366,0.536,2.792,0.407,0.566,0.391,0,0,0
78,1.335,0.462,0.594,0.119,0.434,0.77,1.194,0.854,0,0,0
79,1.335,0.224,0.205,-0.06,0.436,0.517,0.657,0.265,0,0,0
80,1.335,1.153,1.821,1.722,1.59,0.813,1.281,1.693,0,0,0
81,1.335,0.213,0.179,0.355,3.108,0.254,0.266,-0.06,0,0,0
