PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,UMINB,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
1,1.368,1.008,1.541,1.031,1.139,1.14,1.876,1.036,0,0,0
2,1.368,1.169,0.519,0.134,0.105,1.077,1.821,1.456,5,99,0
3,1.368,0.679,1.134,0.896,0.415,0.739,1.227,1.786,0,0,0
4,1.368,0.681,0.728,0.441,0.81,0.722,1.198,0.786,0,0,0
5,1.368,0.671,1.181,1.006,1.266,0.683,1.142,1.107,0,0,0
6,1.368,0.707,0.833,0.389,0.346,0.771,1.284,1.213,0,0,0
7,1.368,0.927,0.454,0.099,0.107,0.799,1.351,1.256,5,99,0
8,1.368,0.673,0.546,0.26,0.622,0.706,1.175,0.625,0,0,0
9,1.368,0.805,2.106,1.276,1.332,0.765,1.781,1.393,0,0,0
10,1.368,0.67,0.632,0.608,2.323,0.242,0.241,0.574,0,0,0
11,1.368,0.726,0.391,-0.056,0.286,0.599,1.21,0.23,0,0,0
12,1.368,0.774,1.529,1.127,1.135,0.795,1.582,1.437,0,0,0
13,1.368,0.754,1.581,1.049,1.252,0.764,1.583,1.172,0,0,0
14,1.368,0.671,1.124,0.88,0.897,0.704,1.171,1.288,0,0,0
15,1.368,0.269,0.797,0.365,0.909,0.284,0.366,0.745,0,0,0
16,1.368,0.397,0.27,-0.058,0.767,0.709,1.178,-0.054,0,0,0
17,1.368,0.479,0.532,0.444,1.03,0.77,0.77,0.529,0,0,0
18,1.368,1.189,1.992,0.347,0.081,1.123,1.893,1.478,0,0,0
19,1.368,0.758,1.984,1.664,1.424,0.901,2.015,1.633,0,0,0
20,1.368,0.794,0.401,-0.058,0.185,0.319,1.25,0.483,0,0,0
21,1.368,1.111,0.378,-0.06,0.038,0.31,1.631,1.389,0,0,0
22,1.368,0.669,1.125,1.031,1.551,0.653,0.994,0.919,0,0,0
23,1.368,0.671,1.566,1.258,0.833,0.703,1.171,1.914,0,0,0
24,1.368,0.544,0.569,0.496,1.11,0.709,0.801,0.584,0,0,0
25,1.368,0.744,1.867,1.312,1.177,0.764,1.632,1.764,0,0,0
26,1.368,0.747,1.135,0.847,0.833,0.78,1.299,1.336,0,0,0
27,1.368,0.67,0.738,0.552,0.843,0.706,1.174,0.808,0,0,0
28,1.368,0.59,0.698,0.526,0.888,0.762,1.267,0.716,0,0,0
29,1.368,0.597,0.859,0.335,0.561,0.846,1.418,1.257,0,0,0
30,1.368,0.694,0.985,0.913,1.647,0.547,0.831,0.757,0,0,0
31,1.368,0.682,1.299,1.137,0.709,0.709,1.183,1.842,0,0,0
32,1.368,0.669,1.125,0.902,0.534,0.719,1.193,1.889,0,0,0
33,1.368,0.685,0.791,0.608,0.934,0.718,1.192,0.847,0,0,0
34,1.368,1.008,1.776,1.338,2.775,0.681,1.08,0.731,0,0,0
35,1.368,1.023,0.954,0.419,0.21,0.891,1.516,1.528,0,0,0
36,1.368,0.956,2.037,1.33,3.311,0.727,1.041,1.111,0,0,0
37,1.368,0.715,0.933,0.496,0.404,0.775,1.292,1.34,0,0,0
38,1.368,0.684,0.698,0.386,0.473,0.744,1.236,0.951,0,0,0
39,1.368,1.202,0.377,-0.06,0.033,0.35,1.944,1.492,0,0,0
40,1.368,0.84,2.162,1.384,1.596,1.201,2.106,1.181,0,0,0
41,1.368,0.513,0.526,-0.06,0.305,0.772,1.286,0.651,0,0,0
42,1.368,0.681,0.8,0.822,1.114,0.706,1.173,0.917,0,0,0
43,1.368,0.685,1.142,0.961,0.99,0.716,1.188,1.295,0,0,0
44,1.368,0.781,1.298,1.085,0.679,0.815,1.361,1.579,0,0,0
45,1.368,1.139,2.273,1.249,1.307,1.032,1.48,1.34,0,0,0
46,1.368,0.677,1.131,0.82,0.536,0.736,1.222,1.897,0,0,0
47,1.368,0.72,0.379,-0.057,0.263,0.712,1.206,0.198,0,0,0
48,1.368,0.736,1.099,0.862,1.174,0.755,1.255,1.029,0,0,0
49,1.368,0.674,0.819,0.613,0.731,0.718,1.191,0.96,0,0,0
50,1.368,0.68,0.861,1.078,1.133,0.764,1.103,1.167,0,0,0
51,1.368,1.217,2.033,-0.06,0.027,1.208,2.021,1.512,0,0,0
52,1.368,1.222,2.041,1.513,2.668,1.436,2.334,0.863,0,0,0
53,1.368,0.735,1.111,0.807,0.507,0.797,1.33,1.873,0,0,0
54,1.368,0.788,1.82,1.243,1.235,0.797,1.613,1.516,0,0,0
55,1.368,0.682,0.749,0.347,0.242,0.751,1.249,1.187,0,0,0
56,1.368,0.945,0.419,-0.057,0.173,0.614,1.394,0.583,0,0,0
57,1.368,0.779,1.167,1.091,1.475,0.706,1.113,1.029,0,0,0
58,1.368,0.74,1.243,1.112,1.233,0.752,1.27,1.22,0,0,0
59,1.368,0.673,1.126,0.863,0.772,0.715,1.187,1.324,0,0,0
60,1.368,0.582,0.801,0.937,1.097,0.801,0.989,1.052,0,0,0
61,1.368,0.585,0.636,0.39,1.016,0.743,1.199,0.594,0,0,0
62,1.368,0.697,0.755,0.514,0.701,0.756,1.257,0.864,0,0,0
63,1.368,0.674,1.127,0.987,0.981,0.702,1.168,1.251,0,0,0
64,1.368,0.696,1.464,1.353,1.053,0.725,1.203,1.76,0,0,0
65,1.368,0.719,0.879,0.692,0.796,0.759,1.261,1.035,0,0,0
66,1.368,0.705,1.26,0.972,0.955,0.737,1.223,1.442,0,0,0
67,1.368,0.715,0.578,0.287,0.407,0.721,1.205,0.685,0,0,0
68,1.368,0.509,0.363,-0.06,0.269,0.699,1.195,0.201,0,0,0
69,1.368,0.67,0.615,-0.011,0.226,0.266,1.221,0.98,0,0,0
70,1.368,1.05,2.251,1.564,1.671,1.249,2.075,1.452,0,0,0
71,1.368,0.658,0.627,0.392,0.602,0.757,1.258,0.84,0,0,0
72,1.368,0.67,1.136,0.91,0.28,0.731,1.212,1.869,0,0,0
73,1.368,1.129,0.42,-0.06,0.059,0.403,1.684,1.41,0,0,0
74,1.368,0.566,0.69,0.408,0.834,0.791,1.317,0.713,0,0,0
75,1.368,0.555,0.375,-0.058,0.304,0.723,1.2,0.17,0,0,0
76,1.368,0.691,1.151,1.096,1.693,0.585,0.912,0.885,0,0,0
77,1.368,0.683,1.139,0.966,1.686,0.603,0.935,0.719,0,0,0
78,1.368,0.8,0.556,0.135,0.259,0.751,1.263,0.719,0,0,0
79,1.368,0.684,1.429,1.148,1.088,0.711,1.18,1.564,0,0,0
80,1.368,0.669,1.225,0.979,0.441,0.719,1.194,1.89,0,0,0
81,1.368,0.562,0.669,0.468,0.973,0.775,1.224,0.654,0,0,0
82,1.368,1.384,2.058,1.535,1.508,1.434,2.34,1.406,0,0,0
83,1.368,0.769,1.191,1.021,1.116,0.792,1.319,1.263,0,0,0
84,1.368,0.67,0.789,0.523,0.433,0.725,1.203,1.065,0,0,0
85,1.368,0.669,1.193,1.019,0.785,0.706,1.174,1.639,0,0,0
86,1.368,0.684,0.876,0.399,0.264,0.718,1.193,1.307,0,0,0
87,1.368,0.479,0.597,0.74,1.394,0.47,0.596,0.745,0,0,0
88,1.368,0.902,0.938,0.428,0.252,0.805,1.364,1.433,0,0,0
89,1.368,0.429,0.426,-0.041,0.673,0.783,1.305,0.234,0,0,0
90,1.368,0.72,0.601,0.156,0.241,0.535,1.206,0.867,0,0,0
91,1.368,0.625,0.634,0.325,0.759,0.76,1.263,0.636,0,0,0
92,1.368,0.718,1.125,1.095,1.493,0.681,1.058,1.01,0,0,0
93,1.368,0.403,0.342,-0.06,0.572,0.815,1.362,0.324,0,0,0
94,1.368,0.652,0.982,0.647,1.078,0.86,1.21,0.849,0,0,0
95,1.368,0.604,0.656,0.198,0.404,0.787,1.312,0.883,0,0,0
96,1.368,1.103,0.363,-0.06,0.099,0.4,1.63,1.388,0,0,0
97,1.368,0.58,0.681,0.659,1.13,0.753,0.864,0.751,0,0,0
98,1.368,0.455,0.465,0.462,0.99,0.768,0.786,0.433,0,0,0
99,1.368,0.508,0.55,0.158,0.244,0.221,0.837,0.784,0,0,0
100,1.368,1.163,0.405,-0.06,0.036,0.353,1.785,1.445,0,0,0
101,1.368,1.159,0.349,-0.06,0.023,0.244,1.763,1.438,0,0,0
102,1.368,0.993,2.182,1.218,1.341,0.909,1.764,1.246,0,0,0
103,1.368,0.858,1.376,0.547,0.65,0.875,1.469,1.683,0,0,0
104,1.368,0.777,1.214,0.828,0.911,0.801,1.336,1.272,0,0,0
105,1.368,0.685,1.076,0.795,0.69,0.71,1.187,1.248,0,0,0
106,1.368,1.071,2.254,1.914,1.857,0.943,1.569,1.903,0,0,0
107,1.368,0.67,1.128,0.841,0.368,0.721,1.197,1.714,0,0,0
108,1.368,0.712,1.523,1.298,1.224,0.727,1.391,1.472,0,0,0
109,1.368,0.217,0.199,-0.058,0.536,0.217,0.239,0.723,0,0,0
110,1.368,0.588,0.771,0.758,1.026,0.782,1.142,0.896,0,0,0
111,1.368,0.561,0.621,0.356,0.835,0.77,1.281,0.609,0,0,0
112,1.368,0.465,0.494,0.363,1.145,0.772,0.583,0.402,0,0,0
113,1.368,0.675,0.559,0.133,0.332,0.739,1.227,0.677,0,0,0
114,1.368,0.912,1.649,1.64,1.629,0.848,1.417,1.392,0,0,0
115,1.368,1.003,1.847,1.318,1.331,0.965,1.794,1.379,0,0,0
116,1.368,0.708,0.771,0.51,0.651,0.757,1.258,0.915,0,0,0
